อุทยานแห่งชาติ,ไทย(ผู้ใหญ่),ไทย(เด็ก),ต่างชาติ(ผู้ใหญ่),ต่างชาติ(เด็ก)
เขาใหญ่ ,40,20,400,200
ทับลาน,20,10,100,50
ปางสีดา,40,20,200,100
ตาพระยา,20,10,100,50
น้ำตกสามหลั่น,20,10,100,50
น้ำตกเจ็ดสาวน้อย,20,10,100,50
หมู่เกาะช้าง,40,20,200,100
เขาแหลมหญ้า-หมู่เกาะเสม็ด,40,20,200,100
น้ำตกพลิ้ว,40,20,200,100
เขาชะเมา-เขาวง,40,20,200,100
เขาคิชฌกูฎ,40,20,200,100
น้ำตกคลองแก้ว,20,10,100,50
เขาสิบห้าชั้น,20,10,100,50
เขื่อนศรีนครินทร์,60,30,300,150
เอราวัณ,60,30,300,150
ไทรโยค,60,30,300,150
เขาแหลม,40,20,200,100
แก่งกระจาน,60,30,300,150
เขาสามร้อยยอด,40,20,200,100
แหลมสน,40,20,200,100
ธารเสด็จ-เกาะพะงัน,20,10,100,50
เขาหลวง,40,20,200,100
หมู่เกาะสิมิลัน,100,50,500,250
ตาดโตน,40,20,200,100
ภูแลนคา,20,10,100,50
ภูกระดึง,40,20,200,100
เขาค้อ,20,10,100,50
ดอยอินทนนท์,60,30,300,150
ดอยสุเทพ-ปุย,20,10,100,50
หมู่เกาะลันตา,40,20,200,100
เฉลิมรัตนโกสินทร์,40,20,200,100
ทองผาภูมิ,40,20,200,100
ลำคลองงู,40,20,200,100
เฉลิมพระเกียรติไทยประจัน,20,10,100,50
พุเตย,20,10,100,50
กุยบุรี,40,20,200,100
น้ำตกห้วยยาง,20,10,100,50
หาดวนกร,20,10,100,50
อ่าวสยาม (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
เขาสก,40,20,200,100
หมู่เกาะอ่างทอง,40,20,200,100
หมู่เกาะชุมพร,40,20,200,100
ใต้ร่มเย็น,40,20,200,100
น้ำตกหงาว,20,10,100,50
แก่งกรุง,20,10,100,50
คลองพนม,20,10,100,50
ลำน้ำกระบุรี,20,10,100,50
หมู่เกาะระนอง,40,20,200,100
หาดนพรัตน์ธารา-หมู่เกาะพีพี,40,20,200,100
อ่าวพังงา,60,30,300,150
หมู่เกาะสุรินทร์,100,50,500,250
หาดเจ้าไหม,40,20,200,100
ตะรุเตา,40,20,200,100
สิรินาถ,40,20,200,100
น้ำตกโยง,20,10,100,50
เขานัน,40,20,200,100
ธารโบกขรณี,60,30,300,150
หมู่เกาะเภตรา,20,10,100,50
ทะเลบัน,40,20,200,100
ศรีพังงา,20,10,100,50
เขาลำปี-หาดท้ายเหมือง,20,10,100,50
เขาพนมเบญจา,20,10,100,50
น้ำตกสี่ขีด,20,10,100,50
หาดขนอม-หมู่เกาะทะเลใต้ (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
เขาหลัก-ลำรู่,20,10,100,50
เขาน้ำค้าง,20,10,100,50
เขาปู่-เขาย่า,20,10,100,50
สันกาลาคีรี (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
บางลาง,20,10,100,50
น้ำตกทรายขาว,20,10,100,50
บูโด-สุไหงปาดี,20,10,100,50
อ่าวมะนาว-เขาตันหยง (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
น้ำตกซีโป (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
ไทรทอง,40,20,200,100
ป่าหินงาม,40,20,200,100
ภูเรือ,40,20,200,100
ภูเวียง,40,20,200,100
ภูผาม่าน,20,10,100,50
น้ำพอง,20,10,100,50
ภูสวนทราย,20,10,100,50
ผาแต้ม,40,20,200,100
แก่งตะนะ,20,10,100,50
ภูจอง-นายอย,40,20,200,100
เขาพระวิหาร,40,20,200,100
ภูผาเทิบ,20,10,100,50
ภูสระดอกบัว,20,10,100,50
ภูพาน,20,10,100,50
นายูง-น้ำโสม (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
ภูผาเหล็ก,20,10,100,50
ภูผายล,20,10,100,50
ภูลังกา,20,10,100,50
ภูเก้า-ภูพานคำ,20,10,100,50
ภูหินจอมธาตุ-ภูพระบาท (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
ทุ่งแสลงหลวง,40,20,200,100
ภูหินร่องกล้า,40,20,200,100
น้ำหนาว,40,20,200,100
น้ำตกชาติตระการ,40,20,200,100
ภูสอยดาว,40,20,200,100
ลำน้ำน่าน,20,10,100,50
แควน้อย (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
ต้นสักใหญ่,20,10,100,50
ตาดหมอก,20,10,100,50
แม่วงก์,40,20,200,100
คลองลาน,40,20,200,100
คลองวังเจ้า,40,20,200,100
แม่ยม,20,10,100,50
เวียงโกศัย,40,20,200,100
ดอยผากลอง,20,10,100,50
ขุนน่าน,20,10,100,50
ขุนสถาน,20,10,100,50
ดอยภูคา,40,20,200,100
ถ้ำสะเกิน,20,10,100,50
นันทบุรี (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
แม่จริม,40,20,200,100
ศรีน่าน,20,10,100,50
แจ้ซ้อน,40,20,200,100
ดอยขุนตาล,20,10,100,50
ถ้ำผาไท (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
แม่วะ,20,10,100,50
ดอยจง,20,10,100,50
เขลางค์บรรพต (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
ตากสินมหาราช,40,20,200,100
แม่เมย,40,20,200,100
น้ำตกพาเจริญ (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
รามคำแหง,40,20,200,100
ศรีสัชนาลัย,40,20,200,100
ลานสาง,40,20,200,100
ขุนพะวอ,40,20,200,100
ดอยสอยมาลัย-ไม้กลายเป็นหิน (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
ดอยหลวง,20,10,100,50
ขุนแจ,20,10,100,50
ภูซาง,20,10,100,50
ดอยภูนาง,20,10,100,50
ลำน้ำกก (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
แม่ปืม,20,10,100,50
ถ้ำหลวง - ขุนน้ำนางนอน (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
ภูชี้ฟ้า (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
แม่ปิง,20,10,100,50
ผาแดง,20,10,100,50
ดอยผ้าห่มปก,60,30,300,150
ห้วยน้ำดัง,60,30,300,150
ออบหลวง,20,10,100,50
ศรีลานนา,20,10,100,50
ดอยเวียงผา (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
ออบขาน (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
แม่โถ (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
แม่ตะไคร้,20,10,100,50
ขุนขาน,20,10,100,50
แม่วาง,20,10,100,50
น้ำตกบัวตอง - น้ำพุเจ็ดสี (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
ถ้ำปลา-น้ำตกผาเสื่อ,20,10,100,50
น้ำตกแม่สุรินทร์,40,20,200,100
สาละวิน,20,10,100,50
แม่เงา (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
แม่สะเรียง (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
เจ็ดคด-โป่งก้อนเส้า (เตรียมการฯ),ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ,ไม่เสียค่าบริการ
